Timestamp,Nama Tempat Makan,Lokasi Tempat Makan,Nama Menu,Kategori Tempat,Harga,Kategori Harga,Tujuan Makan,Lauk/Bahan Utama,Rasa,Waktu Makan,Waktu Makan
6/1/2026 8:01:25,Burjo Priangan,Bulusan,Nasi Ayam Balap,Burjo,15000,Hemat,Kenyang,"Ayam, Sayur, Mie",Asin/Gurih,Makan Siang,
6/1/2026 10:40:56,Nasi Padang Sinar Surya,Gondang,Nasi Ayam Crispy,Padang,12000,Sangat Hemat,"Kenyang, Praktis","Ayam, Nasi",Asin/Gurih,Makan Siang,
6/1/2026 10:44:08,Burjo Borju,Perumda,Nasi Ayam Lada Hitam,Burjo,15000,Hemat,"Kenyang, Praktis",Ayam,Tidak Pedas,Makan Siang,
6/1/2026 10:45:28,Burjo Borju,Perumda,Nasi Ayam Bali,Burjo,12000,Hemat,"Kenyang, Praktis","Ayam, Nasi",Tidak Pedas,Makan Siang,
6/1/2026 18:33:28,Burjo Alfa Beta,Gerungsari,Nasi Ayam Bali Krispi,Burjo,16000,Sedang,"Kenyang, Cukup Sehat","Ayam, Tempe, Sayur, Nasi","Pedas, Asin/Gurih",Sarapan,
6/1/2026 18:34:25,Burjo Alfa Beta,Gerungsari,Nasi Omelete,Burjo,12000,Hemat,"Kenyang, Cukup Sehat","Telur, Sayur, Nasi","Tidak Pedas, Asin/Gurih",Sarapan,
6/1/2026 18:38:06,Nasi Goreng Sadewa,Tembalang Selatan,Nasi Goreng Ayam,Nasi Goreng,15000,Hemat,Kenyang,"Ayam, Nasi",Asin/Gurih,Makan Malam,
6/1/2026 18:39:39,Nasi Goreng Sadewa,Tembalang Selatan,Nasi Goreng Spesial,Nasi Goreng,25000,Sedang,Kenyang,"Ayam, Telur, Nasi, Bakso, Sosis",Asin/Gurih,Makan Malam,
6/1/2026 18:40:53,Geprek Maestro,Gerungsari,Nasi Ayam Geprek Ori,Geprek,14000,Hemat,Kenyang,"Ayam, Nasi","Pedas, Asin/Gurih",Makan Siang,
6/1/2026 18:42:01,Warung Bu Bambang,Gondang,Nasi Soto,Warteg,6000,Sangat Hemat,"Kenyang, Cukup Sehat","Ayam, Nasi",Asin/Gurih,Sarapan,
6/1/2026 18:42:36,Warung Bu Bambang,Gondang,Nasi Soto Ceker,Warteg,8000,Sangat Hemat,Kenyang,"Ayam, Nasi, Kikil",Asin/Gurih,Sarapan,
6/1/2026 18:43:45,Warung Bu Bambang,Gondang,Nasi Pecel,Warteg,8000,Sangat Hemat,"Kenyang, Cukup Sehat","Ayam, Telur, Sayur, Nasi",Manis,Sarapan,
6/1/2026 18:45:09,Ayam Gepuk Pak Gembus,Ngesrep,Nasi Ayam Gepuk,Geprek,35000,Mahal,Kenyang,"Ayam, Telur, Tahu, Nasi","Pedas, Asin/Gurih",Makan Siang,
6/1/2026 18:46:42,Mie Gacoan,Ngesrep,Mie Gacoan,Rice / Bowl,10000,Sangat Hemat,Praktis,Mie,"Pedas, Asin/Gurih, Manis",Makan Malam,
6/1/2026 18:48:28,Bakso SS,Gerungsari,Bakso,Bakso /  Mie Ayam,15000,Hemat,"Kenyang, Praktis",Bakso,Asin/Gurih,Makan Siang,
6/1/2026 18:49:08,Bakso SS,Gerungsari,Mie Ayam,Bakso /  Mie Ayam,15000,Hemat,"Kenyang, Praktis","Ayam, Mie",Asin/Gurih,Makan Siang,
6/1/2026 18:50:56,Warteg Citra Rasa,Banjarsari,Nasi Galantin Tahu Putih Orek Tempe,Warteg,11000,Hemat,Kenyang,"Telur, Tempe, Daging","Tidak Pedas, Asin/Gurih",Makan Siang,
6/1/2026 18:51:28,"Ketoprak dan Ketupat Sayur ""Barokah 57""",Prof Soedarto,Ketoprak Telor Dadar,Pecel / Gado,12000,Hemat,"Kenyang, Cukup Sehat","Telur, Tahu, Sayur, Nasi","Tidak Pedas, Manis",Sarapan,
6/1/2026 18:52:36,Ayam Geprek Ngayokdjokarto,Prof Soedarto,Nasi Ayam Geprek,Geprek,14000,Hemat,Kenyang,"Ayam, Nasi","Pedas, Asin/Gurih",Makan Siang,
6/1/2026 18:53:13,Sate Bang Amir ,Banjarsari,Sate Ayam,Sate,20000,Sedang,"Kenyang, Praktis",Ayam,Manis,Makan Malam,
6/1/2026 18:54:37,Bubur Ayam Pak Sholeh,Banjarsari,Bubur Ayam Komplit,Bubur Ayam,15000,Hemat,Kenyang,Ayam,Asin/Gurih,Sarapan,
6/1/2026 18:56:21,Mie Ayam Palembang Afui,Banyuputih,Mie Ayam Jumbo Pangsit,Bakso /  Mie Ayam,15000,Hemat,Kenyang,Mie,Asin/Gurih,Makan Siang,
6/1/2026 18:57:19,Ketoprak Indomie Mas Kembar,Banjarsari,Ketoprak Indomie Aceh + Telur Dadar,Pecel / Gado,15000,Hemat,Kenyang,"Telur, Tahu, Mie","Pedas, Asin/Gurih",Makan Siang,
6/1/2026 18:59:55,Ayam Saus Leleh,Bulusan,Nasi Ayam Geprek Ori,Geprek,13000,Hemat,Kenyang,"Ayam, Nasi","Pedas, Asin/Gurih",Makan Siang,
6/1/2026 19:00:14,Nasi Kuning Pasundan,Gondang,Nasi Kuning Telur Balado,Nasi Kuning,11000,Hemat,"Kenyang, Praktis","Telur, Nasi",Asin/Gurih,Sarapan,
6/1/2026 19:00:45,Ayam Saus Leleh,Bulusan,Nasi Ayam Geprek Saus BBQ,Geprek,15000,Hemat,Kenyang,"Ayam, Nasi","Pedas, Asin/Gurih, Manis",Makan Siang,
6/1/2026 19:01:33,Ayam Saus Leleh,Bulusan,Nasi Ayam Geprek Keju,Geprek,14000,Hemat,Kenyang,"Ayam, Nasi","Pedas, Asin/Gurih",Makan Siang,
6/1/2026 19:02:25,Penyetan Rahayu,Gondang,Nasi Uduk Ayam Goreng ,Penyetan,17000,Sedang,Kenyang,"Telur, Nasi",Asin/Gurih,Makan Malam,
6/1/2026 19:02:52,Ayam Saus Leleh,Bulusan,Nasi Ayam Geprek Lada Hitam,Geprek,15000,Hemat,Kenyang,"Ayam, Nasi","Pedas, Asin/Gurih",Makan Siang,
6/1/2026 19:03:42,Ayam Saus Leleh,Bulusan,Nasi Ayam Geprek Mayo,Geprek,14000,Hemat,Kenyang,"Ayam, Nasi","Pedas, Asin/Gurih, Manis",Makan Siang,
6/1/2026 19:03:50,Burjo Bintang 6,Gondang,Nasi Ayam Balap,Burjo,18000,Sedang,"Kenyang, Praktis","Ayam, Mie, Nasi","Tidak Pedas, Asin/Gurih",Makan Siang,
6/1/2026 19:04:32,Ayam Saus Leleh,Bulusan,Nasi Ayam Geprek Saus Korean Spicy,Geprek,15000,Hemat,Kenyang,"Ayam, Nasi","Pedas, Asin/Gurih, Manis",Makan Siang,
6/1/2026 19:06:50, Ayam Saus Leleh,Bulusan,Nasi Ayam Geprek Keju Mayo,Geprek,15000,Hemat,Kenyang,"Ayam, Nasi","Pedas, Asin/Gurih, Manis",Makan Siang,
